PIN,S_SEX,S_AGE,EDU,NATIVE_LANG,WHERE_RAISED,NSIDES,SIDE_DATA
6073,M,40,16,English,PA,2,04702_A/m.a;04971_A/m.a
6074,F,36,18,English,NY,1,03322_B/f.a
6075,F,42,16,English,PA,1,00273_A/f.a
6081,F,26,12,English,FL,3,01062_A/f.a;03967_A/f.a;05892_A/f.a
6086,F,29,14,English,CA,3,01273_B/f.a;02801_A/f.a;08215_B/f.a
6089,F,38,12,English,VA,2,01051_A/f.a;03307_B/f.a
6093,F,54,12,English,IA,1,00446_A/f.a
6095,F,55,16,English,CO,2,03835_A/f.a;09025_A/f.a
6097,F,37,22,English,TX,3,00897_B/f.a;05022_B/m.a;08121_B/f.a
6098,F,48,16,English,MO,1,00355_A/f.a
6099,F,73,11,English,MS,2,00898_B/f.a;09064_A/f.a
6102,F,35,14,English,LA,1,02868_B/m.a
6103,M,23,16,English,TX,1,01052_A/m.a
6104,F,42,12,English,LA,3,00988_A/f.a;06541_A/f.a;07203_B/f.a
6106,M,46,16,Spanish,Puerto Rico,1,00662_A/m.o
6108,M,56,17,English,NA,3,00999_B/m.a;02263_A/m.a;02443_A/m.a
6110,M,46,17,English,SC,1,00989_B/m.a
6111,F,36,14,English,LA,1,01313_B/f.a
6113,M,20,15,Punjabi,NJ,2,01320_B/m.a;03688_B/m.a
6114,F,40,16,English,TX,1,01185_A/f.a
6119,F,69,14,English,VA,1,00410_B/f.a
6121,M,27,16,English,CA,2,01696_B/m.a;08164_A/m.a
6122,F,43,16,NA,CA,1,01212_A/f.a
6123,F,26,18,English,KY,1,01393_B/f.a
6131,M,18,12,English,PA,1,00806_B/m.a
6137,F,41,20,English,IL,1,00270_B/f.a
6139,F,28,10,English,KY,1,04199_A/f.a
6140,F,37,14,English,TN,1,00514_A/f.a
6148,F,55,17,English,KY,2,01314_B/f.a;08488_A/f.a
6150,M,20,14,English,PA,1,00326_B/m.a
6154,F,49,12,English,IN,1,00469_A/f.a
6156,F,48,17,English and German,NY,2,00346_B/f.a;07356_A/f.a
6158,F,53,20,NA,NC,3,01219_B/f.a;01370_B/f.a;01377_A/f.a
6163,F,64,14,English,NA,2,00422_B/f.a;01506_B/f.a
6165,F,32,23,English,PA,1,00782_B/f.a
6167,M,23,15,English,LA,1,05207_A/m.a
6168,F,41,12,English,OR,2,01082_A/f.a;08168_A/f.a
6174,F,48,19,English,ME,2,00418_A/f.a;07940_B/f.a
6175,M,63,16,English,SC,1,00657_A/m.a
6177,F,20,14,English,NJ,1,00467_A/f.a
6178,F,42,12,English,United Kingdom,1,00626_A/f.a
6181,F,17,12,English,CA,1,01062_B/f.a
6183,F,40,14,English,PA,1,00553_B/f.a
6186,F,38,15,English,NY,2,01873_A/f.a;04031_A/f.a
6189,F,28,16,English,NY,1,00649_B/f.a
6194,F,36,14,English,MO,2,00559_A/f.a;01915_A/f.a
6195,F,23,12,English,OR,1,00709_A/f.a
6198,F,33,16,English,MN,1,00633_A/f.a
6202,M,34,18,English,MD,3,00300_A/m.a;04422_A/m.a;05322_A/m.a
6206,F,30,15,English,KS,1,01002_B/f.a
6207,F,21,15,English,IL,2,00181_A/f.a;00263_A/f.a
6209,M,18,14,English,NA,2,00985_A/m.a;03190_B/m.a
6214,M,31,18,English,NC,2,00709_B/m.a;02869_A/m.a
6217,F,36,12,English,NJ,1,07059_A/f.a
6222,M,40,14,English,CO,1,01037_B/m.a
6228,F,45,16,English,FL,2,05887_B/f.a;06641_A/f.a
6230,F,24,18,English,Canada,1,00880_A/f.a
6231,F,38,18,Japanese,Japan,2,01023_A/f.o;04666_A/m.a
6241,F,54,18,English,PA,1,00607_B/f.a
6246,M,20,15,English and Korean,NC,2,00051_B/m.a;00073_B/m.a
6249,M,43,16,English,GA,1,00924_B/m.a
6251,F,20,14,English,TX,1,00861_B/f.a
6253,F,31,22,English,GA,1,00686_B/f.a
6256,M,44,14,English,MD,1,00368_A/m.a
6257,F,20,14,English,OK,2,00234_A/f.a;00272_B/f.a
6258,M,21,14,English,AZ,1,00830_A/m.a
6260,F,23,15,Hungarian,Hungary,1,06990_B/f.a
6265,F,21,16,English,WI,1,00353_A/f.a
6268,F,29,18,Russian,NA,1,00320_A/f.o
6270,F,46,14,English,PA,1,00885_B/f.a
6274,F,33,14,English,GA,2,01290_B/f.a;06732_A/f.a
6278,M,35,29,English,PA,1,00400_A/m.a
6283,M,19,12,English,CA,1,01330_B/m.a
6284,F,20,12,English,TX,2,01238_B/f.a;07791_A/f.a
6287,F,33,22,German,Germany,2,00059_A/f.o;00082_B/f.a
6291,F,32,12,English,VA,2,02870_A/f.a;06004_B/f.a
6292,F,63,14,English,PA,2,00039_B/m.a;00193_B/m.a
6296,F,52,12,English,FL,2,01352_B/f.a;04603_B/f.a
6297,M,54,15,English,PA,3,00537_A/m.a;01775_A/m.a;03245_A/m.a
6300,F,35,18,English,WI,1,00436_A/f.a
6301,F,46,17,English,CA,1,00509_A/f.a
6307,F,30,18,Tagalog and Visayan,Philippines,1,00245_B/f.o
6310,F,38,15,English,NA,3,00818_A/f.a;01407_B/f.a;01629_B/f.a
6326,F,32,13,English,PA,2,00523_A/f.a;01649_B/f.a
6328,F,19,13,English,NH,1,00476_A/f.a
6332,F,26,18,Russian,Russia,1,00758_B/f.o
6335,M,53,12,English,IL,3,01163_A/m.a;01770_B/f.a;03246_B/m.a
6338,F,25,12,English,WA,1,00491_B/f.a
6346,F,36,16,English,CO,1,01095_B/f.a
6351,F,53,25,English,NA,1,00318_A/f.a
6358,F,38,22,Chinese,China,3,00832_B/f.a;01670_A/f.o;02864_A/f.o
6359,M,42,12,English,CT,2,00966_B/m.a;01559_B/m.a
6361,F,18,12,Russian and English,PA,1,00538_A/f.a
6365,F,25,18,Russian,Russia,3,01159_B/f.o;02082_A/f.o;04197_A/f.a
6366,F,61,16,English,MO,3,01065_A/f.a;07227_A/f.a;08743_A/f.a
6375,F,39,16,English,CO,1,03235_B/f.a
6378,M,32,16,English,CA,1,01146_B/m.a
6380,F,38,16,English,VA,1,01596_B/f.a
6384,F,28,12,English,PA,3,01007_A/f.a;01707_B/f.a;03308_B/f.a
6387,F,41,20,English,NA,1,00305_B/f.a
6388,F,21,11,English,OH,1,00640_B/f.a
6389,F,40,12,English,KS,2,00590_A/f.a;06478_A/f.a
6390,F,29,15,English,PA,1,08513_A/f.a
6394,F,38,13,English,PA,1,00413_B/m.a
6401,M,66,12,English,IL,3,01022_B/m.a;02860_B/m.a;03385_A/m.a
6407,F,28,20,English,MI,2,00132_B/f.a;00236_B/f.a
6409,F,46,18,English,NY,2,00731_B/f.a;06539_A/f.a
6410,M,49,18,English,SC,3,01100_A/m.a;04926_A/m.a;04940_A/m.a
6413,F,49,13,English,FL,2,02828_A/f.a;03344_B/f.a
6418,F,41,12,English,WI,1,00560_B/f.a
6420,F,51,12,English,MI,1,00511_B/f.a
6429,M,40,16,English,KY,1,01327_B/m.a
6432,F,49,14,English,IL,1,02802_B/f.a
6434,F,38,19,English,FL,3,00541_A/f.a;01356_B/f.a;01658_A/f.a
6436,F,30,20,Turkish,Turkey,2,00041_A/f.a;00158_B/f.o
6439,M,58,21,English,NY,1,00341_B/m.a
6443,F,23,16,English,IL,1,00321_A/f.a
6444,F,24,12,English,TX,2,01295_A/f.a;09982_A/f.a
6454,F,27,12,English,MN,3,04477_A/f.a;06230_A/f.a;07279_B/f.a
6455,F,36,25,Spanish,Spain,1,01163_B/f.o
6459,M,19,13,English,NJ,1,04049_A/m.a
6461,F,24,17,English,IA,1,00476_B/f.a
6470,F,32,15,English,IL,2,00568_A/f.a;03955_A/f.a
6475,F,23,13,English,AL,1,00406_B/f.a
6478,F,24,11,English,Canada,2,00087_B/f.o;00191_B/f.a
6479,F,45,12,English,TN,2,06007_B/f.a;06267_A/f.a
6480,F,26,16,English,MN,1,01030_B/f.a
6482,M,22,12,English,MD,1,00975_A/m.a
6487,F,42,12,English,OH,1,00484_A/f.a
6490,M,25,18,Greek,Cyprus,1,00694_B/m.o
6491,F,45,16,English,AL,1,00481_A/f.a
6492,F,27,14,English,PA,1,01132_A/f.a
6494,F,25,20,English,VA,3,00548_B/f.a;01621_A/f.a;02784_A/f.a
6497,F,35,15,English,CO,1,00825_B/f.a
6501,F,23,15,Hungarian and Romanian,Russia,1,00362_B/f.o
6503,F,28,16,English,KY,1,00884_B/f.a
6504,F,48,16,English,TX,2,06016_A/f.a;08001_B/f.a
6506,F,40,16,English,OR,1,01217_A/f.a
6509,F,21,15,English,FL,1,00540_B/f.a
6518,F,41,16,English,SC,2,00980_A/f.a;06468_A/f.a
6521,F,27,13,English,IA,1,01080_B/f.a
6523,F,29,13,English,NA,2,01070_A/f.a;04740_A/f.a
6524,F,22,16,English,PA,1,01220_B/f.a
6527,F,34,18,English,CA,2,01160_A/f.a;01394_A/f.a
6537,F,36,12,English,GA,2,01041_B/f.a;01707_A/f.a
6539,F,45,24,English,CT,1,00333_A/f.a
6542,M,61,14,English,IA,1,00451_B/m.a
6543,M,24,18,English,GA,2,01320_A/m.a;03469_A/m.a
6551,F,43,12,English,IL,2,01069_B/f.a;03926_B/f.a
6552,M,68,20,British English,NA,3,00106_B/m.a;00165_A/m.a;00275_A/m.o
6558,F,19,12,English,OK,1,00845_A/f.a
6561,F,34,15,English,NJ,1,01213_B/f.a
6562,F,35,12,English,AL,1,01009_B/f.a
6568,F,39,16,English,NJ,1,01824_B/f.a
6569,F,60,19,English,NJ,2,00214_B/f.a;00283_A/f.a
6571,F,32,12,English,IN,1,00834_A/f.a
6572,M,31,13,English,IA,1,01148_B/m.a
6591,F,40,14,English,NY,1,00681_A/f.a
6592,M,39,26,English,WA,1,01901_A/f.a
6595,F,17,12,English,TN,2,01459_A/f.a;02802_A/f.a
6596,F,23,12,Korean,NA,2,00060_B/f.o;00085_B/f.o
6599,M,49,16,English,MO,1,00947_A/m.a
6604,F,54,18,English,NJ,1,00343_B/f.a
6608,F,42,13,English,NY,1,00735_A/f.a
6611,F,28,12,English,WV,1,00822_A/f.a
6612,F,47,13,English,MO,2,06693_B/f.a;07050_B/f.a
6613,F,33,16,English,MN,3,01117_B/f.a;02027_B/f.a;02705_A/f.a
6625,F,23,17,English,NY,2,00043_A/f.a;00102_B/f.a
6631,F,20,15,English,GA,2,00954_B/f.a;01451_B/f.a
6633,M,26,15,English,NA,1,00373_A/m.a
6634,M,41,18,English,OH,2,00401_A/m.a;04786_A/m.a
6637,F,28,18,Serbian,Yugoslavia,1,00918_A/f.o
6643,F,19,13,English,UT,2,01292_A/f.a;06277_B/f.a
6644,F,23,12,English,GA,2,06755_A/f.a;09074_A/f.a
6646,F,34,12,English,PA,2,00638_A/f.a;03092_A/f.a
6647,M,34,16,English,MN,3,01459_B/f.a;04082_A/m.a;04447_B/m.a
6648,F,26,19,English,FL,3,00323_B/f.a;02891_A/f.a;06146_B/f.a
6656,F,22,12,English,NC,1,00552_B/f.a
6659,F,41,16,English,NY,1,00485_A/f.a
6661,F,27,12,English,MN,2,00761_B/f.a;02331_A/f.a
6662,M,52,12,English,IL,2,02130_B/m.a;03756_A/m.a
6664,M,30,17,Spanish,NA,1,00331_B/m.o
6665,F,44,12,English,WI,1,00698_B/f.a
6670,M,23,17,English,NJ,1,00386_A/m.a
6673,F,25,19,English,PA,2,00135_B/f.a;06139_B/f.a
6674,F,45,14,English,CA,2,00935_B/f.a;10519_B/f.a
6676,M,45,20,English,MI,3,00013_A/m.a;00072_B/m.a;00118_A/m.a
6682,F,21,17,English,MN,3,00302_A/f.a;01759_B/f.a;03889_A/f.a
6686,F,21,15,English,NM,1,00869_B/f.a
6688,F,21,16,English,AZ,1,00369_A/f.a
6694,F,45,14,English,TX,1,00690_A/f.a
6696,F,55,17,English,CA,1,01793_B/f.a
6697,F,47,13,English,NY,1,00794_B/f.a
6698,M,33,12,Urdu,NA,1,00089_A/m.o
6700,F,27,12,English,TX,1,00509_B/f.a
6702,F,34,13,English,VA,1,00856_A/f.a
6707,M,46,18,English,CA,1,01160_B/m.a
6715,F,43,16,English,MO,1,01348_B/f.a
6722,F,26,18,English,OR,1,00245_A/f.a
6724,F,32,13,English,WA,1,01078_A/f.a
6730,F,27,16,English,OR,1,01138_B/f.a
6731,F,36,12,English,OH,2,01010_A/f.a;01788_B/f.a
6736,F,47,14,English,MD,1,06039_A/f.a
6738,F,30,16,English,IL,1,03988_A/f.a
6740,F,40,16,English,OR,1,01133_A/f.a
6742,F,42,14,English,OH,1,06702_A/f.a
6744,F,24,16,English,ID,3,00024_A/f.a;00129_B/f.a;06269_A/f.a
6748,M,40,12,English,IN,1,00581_B/m.a
6749,F,27,16,English,IA,2,00081_B/f.a;00127_B/f.a
6750,F,25,12,English,OH,1,00917_A/f.a
6760,F,36,12,English,NY,1,00760_A/f.a
6761,F,58,13,English,MA,2,01370_A/f.a;01542_A/f.a
6762,M,35,16,English,GA,1,00937_A/m.a
6763,F,32,21,English,IN,1,00274_B/f.a
6764,F,28,12,English,ME,1,01027_A/f.a
6765,F,38,13,English,FL,1,03070_B/f.a
6776,F,29,16,English,CA,1,01181_A/f.a
6778,F,47,14,English,PA,3,00443_B/f.a;01737_A/f.a;06531_A/f.a
6782,F,20,14,English and Cantonese,PA,1,00896_A/f.a
6789,F,50,12,English,NA,3,00640_A/f.a;01647_A/f.a;02362_B/f.a
6791,F,29,16,English,PA,2,00820_B/f.a;01628_A/f.a
6794,M,27,19,Chinese,China,1,01257_A/m.o
6795,M,31,18,English,PA,1,00391_A/m.a
6797,M,22,15,English,HI,1,00683_A/m.a
6798,F,19,14,English,TX,1,01241_A/f.a
6799,M,73,20,English,OR,1,01164_A/m.a
6800,F,57,18,English,MD,2,00133_A/f.a;00228_B/f.a
6807,F,48,15,English,WA,1,00575_A/f.a
6808,F,41,12,English,CA,1,01202_B/f.a
6809,F,52,16,English,NY,1,00906_B/f.a
6813,F,52,12,English,IL,2,01400_B/f.a;03988_B/f.a
6817,F,35,16,English,NJ,2,02384_B/f.a;02402_A/f.a
6818,F,26,18,Chinese,China,3,00143_B/f.o;00205_A/f.o;05096_B/m.o
6820,F,31,12,English,KY,1,00601_B/f.a
6821,F,39,14,English,CA,1,01014_A/f.a
6827,F,72,14,English,DE,1,00929_B/f.a
6829,M,72,16,English,NJ,1,00899_A/m.a
6831,M,40,14,English,OR,1,00392_B/m.a
6838,F,38,12,English,MT,1,01130_B/f.a
6852,F,28,18,English,IL,3,03875_B/f.a;07582_B/f.a;08724_A/f.a
6853,F,46,13,English,Canada,1,00582_A/f.a
6856,F,22,12,English,KY,2,01105_A/f.a;08032_A/f.a
6866,F,47,16,Chinese,MD,1,00699_B/f.o
6867,F,32,12,English,FL,2,06717_B/f.a;07067_A/f.a
6868,F,54,12,English,ID,1,06456_B/f.a
6869,M,46,13,German,Germany,3,01046_A/m.o;02948_A/m.o;04062_A/m.o
6875,F,36,16,English,IL,2,00997_A/f.a;02780_B/f.a
6878,F,23,16,Chinese,China,1,00835_A/f.o
6880,F,37,18,English,NY,1,00393_A/f.a
6881,M,25,12,English,WV,1,00753_B/m.a
6882,F,40,12,English,CT,1,00792_A/f.a
6883,F,48,12,English,NY,3,00682_B/f.a;01682_A/f.a;02925_A/f.a
6885,F,39,16,English,OK,1,00610_B/f.a
6895,M,33,20,English,MD,1,00431_B/m.a
6898,F,49,13,English,IL,4,01205_A/f.a;01395_A/f.a;01568_B/f.a;01697_A/f.a
6899,F,47,12,Yoruba,VA,2,01435_B/f.o;01451_A/f.o
6912,F,57,10,English,TX,1,00824_A/f.a
6914,F,45,12,English,GA,1,01134_B/f.a
6924,F,52,16,English,OH,1,07068_A/f.a
6932,F,39,16,English,NY,2,01382_A/f.a;02897_B/f.a
6936,F,20,12,English,TX,2,00685_A/f.a;03146_B/f.a
6937,F,19,13,English,NJ,3,00200_A/f.a;00218_A/f.a;00280_B/f.a
6940,M,68,16,English,NJ,3,05796_A/m.a;08940_B/m.a;09163_A/m.a
6943,F,37,16,English,TX,2,01059_B/f.a;01741_A/f.a
6957,F,43,20,English,FL,3,00964_A/f.a;01491_B/f.a;01547_B/f.a
6959,F,34,16,English,CT,1,07119_A/f.a
6962,F,50,12,English,PA,1,00983_B/f.a
6963,F,46,12,English,FL,1,08019_B/f.a
6965,F,47,12,English,TX,1,00714_B/f.a
6968,M,33,18,English,NE,2,00107_A/m.a;04692_A/m.a
6969,F,26,18,Russian and Hebrew,Israel,4,00008_A/f.a;00067_B/f.o;00103_B/f.a;00158_A/f.o
6971,F,44,13,English,IL,2,01040_B/f.a;03955_B/m.a
6972,F,71,12,English,KY,1,00441_B/f.a
6976,F,43,16,English,OH,1,00477_A/f.a
6978,M,28,20,English,CA,2,01293_B/m.a;03630_A/m.a
6979,F,26,14,English,OH,2,03968_A/f.a;05893_B/f.a
6993,F,20,12,English,CA,2,01648_A/f.a;01750_A/f.a
6994,M,29,12,English,GA,2,00906_A/m.a;03644_A/m.a
6998,M,35,18,English,Canada,2,00030_B/m.a;00141_B/m.a
7000,F,33,12,English,MI,1,00638_B/f.a
7004,F,44,13,English,CA,2,01255_A/f.a;02239_B/f.a
7006,M,37,18,English,CA,2,00899_B/m.a;04115_A/m.a
7010,F,39,15,English,MI,1,01136_B/f.a
7015,F,49,15,English,OK,1,00853_A/f.a
7024,F,33,16,English,OK,2,01067_A/f.a;06149_A/f.a
7029,M,53,14,English,VA,2,01029_B/m.a;03664_A/m.a
7031,F,57,21,English,NA,1,01773_B/f.a
7033,F,23,16,English,PA,1,00821_B/f.a
7036,F,52,16,English,NJ,2,00120_A/f.a;00292_A/f.a
7038,F,19,14,English,IN,2,00014_A/f.a;00048_A/f.a
7040,M,56,11,English,SC,1,01265_A/m.a
7043,M,25,16,English,CA,1,00706_A/m.a
7044,M,61,12,English,IA,1,00605_B/f.a
7046,M,30,12,Chinese,CA,1,01296_B/m.o
7047,M,52,13,English,NY,1,00817_B/m.a
7049,M,20,14,English,Saudi Arabia,1,00382_A/m.a
7053,M,36,20,Telegu,India,1,03938_A/m.o
7055,M,44,12,English,GA,3,01106_B/m.a;01435_A/m.a;02786_A/m.a
7056,M,33,17,Japanese,Japan,1,01338_B/f.a
7060,M,49,14,English,PA,1,00879_B/m.a
7063,F,57,17,English,MO,1,00624_B/f.a
7075,F,44,16,NA,NA,1,01321_B/f.a
7076,F,42,12,English,NJ,2,01161_B/f.a;02023_B/f.a
7077,F,40,16,English,NA,2,00471_B/f.a;01805_B/f.a
7078,F,23,17,English,NY,3,00069_B/f.a;00100_A/f.a;00159_B/f.a
7092,F,38,12,English,ME,2,00530_B/f.a;01755_B/f.a
7093,F,31,17,English,KS,3,01198_A/f.a;04551_B/f.a;06268_A/f.a
7099,F,20,15,English,MI,1,00228_A/f.a
7104,F,50,16,English,PA,3,00801_A/f.a;01688_A/f.a;03246_A/f.a
7106,F,47,16,French,CA,1,03455_B/f.a
7108,M,21,16,English,NY,3,01260_B/m.a;04799_A/m.a;06423_B/m.a
7112,F,29,12,English,NH,1,00705_A/f.a
7115,F,45,12,English,MI,3,01018_A/f.a;01471_B/f.a;08005_A/f.a
7116,F,24,14,English,MO,1,01009_A/f.a
7117,F,26,13,English,CO,2,01085_A/f.a;06546_B/f.a
7118,F,41,12,English,CA,1,00506_A/f.a
7119,M,40,15,English,GA,1,00467_B/m.a
7120,F,33,15,English,IN,2,01076_B/f.a;01436_A/f.a
7123,F,60,16,English,PA,3,01021_A/f.a;01471_A/f.a;01742_A/f.a
7125,F,40,18,English,WV,1,00545_B/f.a
7129,M,24,17,English,WI,1,01161_A/m.a
7130,M,24,19,Hindi,NA,1,00036_B/m.o
7131,F,41,12,English,SC,2,01006_B/f.a;01436_B/f.a
7132,F,23,16,English,PA,2,01186_B/f.a;09073_A/f.a
7140,F,47,16,English,WI,3,01187_A/f.a;01610_A/f.a;01701_A/f.a
7143,F,23,16,English,PA,1,00763_A/f.a
7149,F,61,14,English,KY,2,00993_A/f.a;03908_A/f.a
7151,F,30,14,English,NJ,1,00546_B/f.a
7156,F,63,14,English,MA,1,00745_B/f.a
7158,F,21,15,English,IL,3,00432_A/f.a;01828_A/f.a;08056_A/f.a
7167,F,34,15,English,NC,3,00707_A/f.a;02284_B/f.a;07047_B/f.a
7172,F,53,12,English,IL,1,00888_A/f.a
7174,M,18,13,English,CT,2,00155_A/m.a;00203_A/m.a
7175,F,36,12,Spanish,Mexico,1,04268_B/f.o
7177,M,47,14,English,NJ,2,00415_A/m.a;01440_B/m.a
7180,F,19,13,English,IL,1,00026_B/f.a
7189,F,22,14,English,GA,2,06733_A/f.a;06901_B/f.a
7202,F,31,18,English,PA,1,01750_B/f.a
7203,F,35,13,English,MA,1,00018_A/f.a
7204,M,25,12,English,TX,1,00502_B/f.a
7211,F,44,12,English,PA,2,00522_A/f.a;01684_A/f.a
7212,M,21,14,Vietnamese and English,CA,1,01291_B/f.a
7214,F,60,19,English,MO,2,00663_A/f.a;03381_A/f.a
7218,F,27,17,Korean,Korea,1,00466_B/f.a
7225,F,61,13,English,GA,3,01063_B/f.a;01493_A/f.a;03150_B/f.a
7226,F,23,12,English,PA,1,00253_B/f.a
7228,M,29,21,Hindi,India,3,00565_A/m.o;01758_B/f.o;02018_A/m.o
7230,F,34,16,English,CO,1,00561_B/f.a
7235,F,39,14,English,DE,3,00990_A/f.a;01494_B/f.a;06259_A/f.a
7240,F,52,14,English,NJ,1,01099_B/f.a
7242,F,27,16,English,MA,1,07210_B/f.a
7243,F,19,13,English,CA,2,01119_B/f.a;03091_A/f.a
7252,F,24,14,English,IL,1,08799_A/f.a
7255,F,54,12,English,WI,1,00436_B/f.a
7259,M,33,14,English,Canada,3,01247_B/m.a;04435_A/m.a;04515_B/m.a
7265,F,55,12,English,SC,1,01361_A/f.a
7266,F,34,12,English,OH,1,00599_B/f.a
7267,F,37,23,English,MA,1,00791_B/f.a
7270,F,43,22,English,CA,3,00996_A/f.a;02085_A/f.a;02740_A/f.a
7272,F,30,14,English,OR,1,00868_B/f.a
7274,F,34,18,Dutch,NA,1,00470_A/f.o
7276,M,20,12,English,KS,4,00006_B/m.a;00037_B/m.a;00093_A/m.a;00153_B/m.a
7278,F,32,22,English,IL,3,00010_B/f.a;00042_A/f.a;00159_A/f.a
7281,M,48,17,English,LA,2,03705_A/m.a;04516_A/m.a
7285,F,32,22,English,OH,2,00110_B/f.a;00172_A/f.a
7286,M,48,15,English,LA,2,00887_B/m.a;02782_A/m.a
7287,M,42,18,Cantonese,China,1,01164_B/m.o
7290,F,38,12,English,NY,2,00493_A/f.a;01738_A/f.a
7296,F,34,17,English,TN,3,01109_B/f.a;02773_A/f.a;08031_B/f.a
7298,M,31,14,English,IA,3,00950_A/m.a;02948_B/m.a;05175_A/m.a
7300,F,44,16,English,NJ,2,06006_A/f.a;06575_B/f.a
7302,M,30,18,English,FL,2,01316_B/m.a;05218_B/m.a
7304,F,62,15,English,IL,1,01227_B/f.a
7305,F,45,17,English,WI,1,00847_B/f.a
7307,F,34,13,English,OH,2,02757_A/f.a;04021_B/f.a
7311,F,30,12,English,KS,1,00805_B/f.a
7312,F,58,17,English,NY,1,01533_A/f.a
7314,F,31,22,English,NY,2,00090_B/f.a;00139_B/f.a
7319,F,43,21,English,DE,1,00496_A/f.a
7322,F,39,12,English,CO,2,01005_A/f.a;08493_A/f.a
7326,F,55,12,English,IN,2,01106_A/f.a;04035_A/f.a
7327,F,53,14,English,CA,2,00982_B/f.a;07274_A/f.a
7330,F,40,17,English,KY,1,00351_A/f.a
7331,F,30,18,English,GA,1,00955_B/f.a
7336,F,61,13,English,AL,1,01323_A/f.a
7340,F,29,14,English,SC,2,00908_A/f.a;02070_B/f.a
7343,F,50,4,English,GA,2,00106_A/f.a;00168_B/f.a
7346,F,49,16,English,TX,1,01247_A/f.a
7347,F,25,12,English,OH,1,01235_A/f.a
7350,M,32,18,English and Spanish,Bolivia,2,01754_A/m.a;04173_A/m.a
7353,F,47,12,English,OH,3,01233_A/f.a;01661_B/f.a;03381_B/f.a
7354,F,31,12,English,IL,3,00795_B/f.a;02057_A/f.a;05962_B/f.a
7360,F,43,15,English,CO,1,08014_A/f.a
7362,F,39,14,English,IL,1,01183_A/f.a
7368,F,33,12,English,OK,1,00575_B/f.a
7370,M,39,16,English,IL,2,04012_B/m.a;04575_A/m.a
7375,F,32,12,English,OR,1,01559_A/f.a
7380,M,30,16,English,UT,2,03445_B/m.a;04278_A/m.a
7381,F,37,12,English,WV,1,07440_B/f.a
7382,F,38,14,English,GA,1,07596_B/m.a
7393,M,22,15,English,UT,1,00799_B/m.a
7395,F,35,16,English,WI,1,00721_B/f.a
7396,F,25,17,Turkish,NA,2,00103_A/f.o;00160_A/f.o
7397,F,49,12,English,IA,1,00969_B/f.a
7404,F,28,16,English,OH,1,00495_B/f.a
7405,F,38,16,English,MI,1,01272_A/f.a
7406,F,56,16,English,NA,3,01310_A/f.a;01396_B/f.a;01609_B/f.a
7408,F,27,12,English,NY,3,00716_B/f.a;02588_B/f.a;07060_A/f.a
7419,M,47,14,English,MN,1,01202_A/m.a
7420,F,62,12,English,TX,1,00663_B/f.a
7426,M,35,14,English,NJ,1,00791_A/m.a
7428,F,65,12,English,NY,3,00033_B/f.a;00063_B/f.a;00138_A/f.a
7429,M,25,20,English,OR,1,01209_B/m.a
7430,F,33,12,English,AL,2,01301_B/f.a;08000_B/f.a
7435,F,42,12,English,VA,1,00823_A/f.a
7438,M,33,20,English,NY,3,01634_A/m.a;01827_A/m.a;03015_A/m.a
7439,F,41,10,English,GA,1,01239_A/f.a
7445,M,28,18,Hindi and Rajasthani,India,1,00079_A/m.o
7448,M,32,16,English,MD,1,00319_B/f.a
7455,F,25,16,English,VA,1,00312_B/f.a
7461,F,31,18,English,VA,2,07291_B/f.a;08794_B/f.a
7462,F,26,16,English,Jordan,1,00943_A/f.a
7463,F,49,16,English,GA,2,01187_B/f.a;07345_A/f.a
7466,F,47,12,English,OH,3,01743_B/f.a;02095_B/f.a;02176_B/f.a
7473,F,25,12,English,OH,1,02300_B/f.a
7475,F,23,12,English,CA,1,01256_A/f.a
7479,M,23,16,Chinese,PA,1,00428_A/m.a
7480,F,27,20,Chinese,China,1,01193_B/f.o
7481,F,34,14,English,MI,2,00895_A/f.a;03091_B/f.a
7482,F,21,15,English,NY,1,00498_A/f.a
7484,F,27,15,British English,Australia,1,00387_A/m.o
7490,F,20,15,English,Australia,1,00872_B/f.o
7492,F,19,13,English,MI,2,01008_B/f.a;01437_A/f.a
7493,F,72,15,NA,PA,1,00877_A/f.a
7496,F,19,12,English,TX,2,01036_B/f.a;01533_B/f.a
7497,M,27,21,English,CA,3,00302_B/m.a;01674_A/m.a;02112_A/m.a
7500,F,25,14,English,FL,3,00941_B/f.a;01534_A/f.a;06410_A/f.a
7501,F,24,12,English,IL,4,01121_B/f.a;01571_A/f.a;01955_A/f.a;02027_A/f.a
7502,F,36,20,English,TX,1,00412_B/f.a
7507,M,40,12,English,GA,1,04688_A/f.a
7511,M,41,19,English,NY,3,00770_A/m.a;05017_A/m.a;06126_B/f.a
7515,F,32,16,English,GA,3,06279_A/f.a;06633_A/f.a;06870_A/f.a
7516,M,26,13,English,PA,3,00881_B/m.a;04813_B/m.a;06920_B/m.a
7519,F,30,15,Chinese,NA,1,00359_B/f.o
7520,F,53,16,English,MD,1,00687_B/f.a
7523,F,28,12,English,FL,1,01234_A/f.a
7527,F,44,16,English,OK,1,00618_B/f.a
7530,F,38,16,English,NY,1,00786_A/f.a
7532,M,28,19,English,MN,2,03210_A/m.a;03486_A/m.a
7536,M,25,18,English,FL,2,00914_B/m.a;04416_A/m.a
7537,F,38,14,English,NA,2,01612_A/f.a;01703_B/f.a
7538,M,57,19,English,IL,1,00427_B/m.a
